"date","close","volume","open","high","low"

"2018/12/28","133.6500","15696370.0000","132.0000","137.3900","130.3100"
"2018/12/27","131.1700","15905030.0000","130.9900","132.3800","125.1800"
"2018/12/26","133.1000","17344130.0000","128.9400","133.1400","124.4600"
"2018/12/24","127.0800","11595980.0000","126.4900","129.9799","124.5000"
"2018/12/21","129.5700","21565250.0000","136.1700","137.5000","128.4600"
"2018/12/20","135.1000","18709810.0000","138.1700","141.8000","132.6880"
"2018/12/19","138.5100","18589440.0000","145.5800","147.7445","136.4300"
"2018/12/18","146.9400","14059820.0000","145.3500","150.3300","144.2500"
"2018/12/17","143.5800","16236460.0000","145.2400","148.1500","141.2400"
"2018/12/14","146.4500","11783340.0000","147.2100","150.5900","145.5000"
"2018/12/13","148.8900","11768810.0000","150.7900","153.3800","147.4400"
"2018/12/12","148.9000","16331900.0000","148.4200","152.7800","144.8200"
"2018/12/11","148.1900","16740910.0000","155.5600","155.8900","145.0000"
"2018/12/10","151.8600","15379840.0000","145.8000","152.8599","145.6500"
"2018/12/07","147.6100","17022010.0000","158.4600","158.8700","145.6160"
"2018/12/06","158.2900","17146080.0000","151.4400","158.4920","150.8100"
"2018/12/04","157.1100","20238090.0000","168.2400","168.4400","156.5000"
"2018/12/03","170.0400","22230320.0000","172.6000","174.6800","167.3400"
"2018/11/30","163.4300","18194070.0000","157.7500","163.8599","155.7200"
"2018/11/29","157.3600","13614990.0000","160.0000","161.5000","156.1400"
"2018/11/28","160.0700","20045570.0000","158.4800","160.2800","153.1250"
"2018/11/27","153.7300","18348930.0000","152.0000","157.0100","150.5500"
"2018/11/26","153.0500","20315300.0000","149.8900","153.4700","146.5600"
"2018/11/23","145.0000","10299210.0000","143.3100","149.5900","142.7892"
"2018/11/21","144.7100","25614800.0000","154.6200","155.3000","143.6100"
"2018/11/20","149.0800","42241260.0000","134.0600","154.2600","133.3100"
"2018/11/19","144.7000","42317960.0000","161.7900","161.8200","144.6300"
"2018/11/16","164.4300","49040720.0000","163.3200","170.6600","161.6100"
"2018/11/15","202.3900","18556230.0000","196.9500","205.3000","195.5000"
"2018/11/14","197.1900","13098330.0000","206.3000","206.8800","192.8302"
"2018/11/13","199.3100","16035080.0000","193.4900","204.2100","193.2369"
"2018/11/12","189.5400","15371700.0000","201.9800","202.8700","188.6600"
"2018/11/09","205.6700","10299100.0000","202.4000","209.3200","201.0400"
"2018/11/08","205.9900","12757730.0000","211.4000","211.4300","203.8300"
"2018/11/07","213.7900","12054920.0000","213.7500","217.4100","211.1800"
"2018/11/06","211.0600","7454036.0000","211.4500","214.8500","209.5648"
"2018/11/05","211.7700","9472615.0000","214.3900","215.3300","205.2800"
"2018/11/02","214.9200","11114150.0000","217.7300","222.0000","210.2108"
"2018/11/01","218.1100","14049310.0000","212.3000","218.4900","207.1900"
